gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression
ENSG00000067048,DDX3Y,168.611951041276,11.114973816793,1.0488336446581,10.5974611640307,3.06179343511726e-26,2.73938658639941e-22,Up
ENSG00000012817,KDM5D,109.254805687596,10.4885449230454,1.03780300349685,10.1064892736912,5.1703938385369e-24,2.31297568366948e-20,Up
ENSG00000129824,RPS4Y1,104.309831840257,10.4238778351948,1.03886591359742,10.0339011019224,1.08156974638708e-23,3.22560150697506e-20,Up
ENSG00000229807,XIST,446.899085603607,-10.1350720334464,1.04411763215069,-9.70682969175611,2.81971082547219e-22,6.30698818887491e-19,Down
ENSG00000114374,USP9Y,34.7039858356093,8.83481209993789,1.05044127853949,8.41057209044716,4.08015695959829e-17,7.30103286350519e-14,Up
ENSG00000183878,UTY,32.2303211098099,8.72752132411465,1.05386800784192,8.28141784281564,1.21717293517657e-16,1.81500770850413e-13,Up
ENSG00000131002,ENSG00000131002,30.0021489517087,8.62421794612794,1.05933322518603,8.14117573307816,3.91457725947338e-16,5.00338896292977e-13,Up
ENSG00000099725,ENSG00000099725,21.218378431871,8.1219789204229,1.07515790629102,7.55421959220981,4.21378730847337e-14,4.7125943811139e-11,Up
ENSG00000067646,ZFY,14.9907922253545,7.6214963085344,1.08520007383054,7.02312549761632,2.16959167746638e-12,2.15681519314353e-09,Up
ENSG00000233864,ENSG00000233864,14.3100658425406,7.55643795424015,1.08432828771501,6.96877323948057,3.19716537686828e-12,2.86050386268405e-09,Up
ENSG00000198692,EIF1AY,13.6232056518679,7.4840197011273,1.09139027077562,6.85732675242614,7.0161030921778e-12,5.70664312415588e-09,Up
ENSG00000099749,ENSG00000099749,12.1629619450559,7.32372354300162,1.09382489430992,6.69551733654963,2.14909965317663e-11,1.60233288308094e-08,Up
ENSG00000130741,EIF2S3,210.373286990511,-0.725786855796566,0.163245838591455,-4.44597462366528,8.74942768990806e-06,0.00602162534935442,NS
ENSG00000204792,LINC01291,5.6599424124225,-5.68844634272067,1.30724795155654,-4.35146701583847,1.352296674551e-05,0.00864214167657702,Down
ENSG00000147050,KDM6A,79.3426535509351,-0.865438178469687,0.206673420719051,-4.18746723917708,2.8208472282567e-05,0.0168254134341418,NS
ENSG00000173674,EIF1AX,81.237663833493,-0.951503901333147,0.229920428004515,-4.13840522824036,3.4972827823665e-05,0.0195563681586457,NS
ENSG00000137959,IFI44L,34.699045751277,-2.11438627594491,0.5200492164768,-4.06574264310853,4.78797493610113e-05,0.0251988304431158,Down
ENSG00000196735,HLA-DQA1,797.093265152198,0.73404989584248,0.183272981526772,4.00522701015399,6.19579504803766e-05,0.0307965434971072,NS
ENSG00000132530,XAF1,138.481408261803,-0.999102553738253,0.255581479509814,-3.90913518324747,9.2627122521515e-05,0.0436176244842102,NS
ENSG00000197701,ENSG00000197701,22.0925219449202,-2.86298661875034,0.746566359677714,-3.83487225433819,0.000125629571314187,0.0562003887274015,NS
ENSG00000126012,KDM5C,207.116902238153,-0.555732649358199,0.146222432364854,-3.8005977630815,0.000144347453794005,0.0614988890045222,NS
ENSG00000198034,RPS4X,1588.85968718074,-0.493612489007104,0.130847571153618,-3.7724237802442,0.000161669361528022,0.0657479898905096,NS
ENSG00000236850,ENSG00000236850,52.1442991246967,0.898192228570012,0.250277202819143,3.58878962387584,0.000332216785075728,0.129232329394458,NS
ENSG00000060709,RIMBP2,11.4681430437082,-3.43056128824346,0.994345044527992,-3.45007128775095,0.000560438538358033,0.208926816778722,NS
ENSG00000005889,ZFX,88.4892442116919,-0.765514020856426,0.22608150922188,-3.38600898185415,0.000709170624621957,0.253797983139706,NS
ENSG00000137965,IFI44,25.335109059535,-1.39977675237767,0.418418074630187,-3.34540221192607,0.000821633262715978,0.282736646212302,NS
ENSG00000169507,SLC38A11,53.5001038777774,1.37839409912286,0.415814418865278,3.31492617039202,0.000916673317914428,0.30375837686594,NS
ENSG00000147408,CSGALNACT1,79.096828375929,-0.871019449276045,0.266921754657177,-3.26320142168535,0.0011016119490584,0.352004361008055,NS
ENSG00000157601,MX1,93.772712831668,-0.801316020734083,0.24763102795547,-3.23592736883593,0.00121248231255861,0.374071698291788,NS
ENSG00000183943,PRKX,104.505506848628,-0.590184953040009,0.182964474782436,-3.22568057947752,0.00125673528219403,0.374800352326334,NS
ENSG00000214595,EML6,39.0838466762833,1.09341968587804,0.345006590834319,3.16927187748459,0.00152821370189335,0.441062193252896,NS
ENSG00000211890,IGHA2,80.9778107610834,0.837364405766975,0.269965495518058,3.10174603669292,0.00192382927874149,0.537890642403129,NS
ENSG00000111331,OAS3,30.9752824675561,-1.0943343492834,0.361272133999599,-3.0291136411994,0.00245272402530956,0.664985510740747,NS
ENSG00000051108,HERPUD1,428.719193938317,-0.52584566875217,0.176095205568392,-2.98614415454906,0.00282519429855596,0.722200382548005,NS
ENSG00000132819,RBM38,571.097190930707,-0.412068009320644,0.137851357276663,-2.98921981953097,0.0027969083163134,0.722200382548005,NS
ENSG00000130985,UBA1,197.536682226513,-0.439505245892058,0.148264470265828,-2.96433289178489,0.0030333994510928,0.753884024692424,NS
ENSG00000169249,ZRSR2,41.7918348873531,-0.781821570787488,0.267499183988415,-2.92270637663458,0.00347003575655296,0.839092159834577,NS
ENSG00000072501,SMC1A,76.4969652045432,-0.639761790356841,0.220637895227665,-2.89960067692226,0.00373638332147164,0.879721620452809,NS
ENSG00000124486,USP9X,77.5562640953099,-0.623508297226027,0.218623035344444,-2.8519789611542,0.00434479761671543,0.996741135301358,NS
ENSG00000000419,DPM1,16.140941846394,0.0438000861929883,0.403756121767507,0.10848154079063,0.913613722410139,0.999987595672692,NS
