gene_id,gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression
ENSG00000067048,DDX3Y,247.557839586487,11.6515848969964,1.03955010801636,11.2082955955144,3.71273744502919e-29,3.24456125321101e-25,Up
ENSG00000129824,RPS4Y1,93.6853715631825,10.2492649221145,1.03883208388888,9.86614206575739,5.83664086750822e-23,2.55032022705772e-19,Up
ENSG00000012817,KDM5D,52.0797212280172,9.40119243248389,1.05186527188938,8.93763933816099,3.97572222727075e-19,1.15812788480397e-15,Up
ENSG00000229807,XIST,298.635452841358,-10.4687985468183,1.19609856648762,-8.75245472249013,2.08761288883168e-18,4.56091225887501e-15,Down
ENSG00000183878,UTY,18.3684128044559,7.89904662887513,1.07356954037916,7.35774100491467,1.87048504756124e-13,3.26923376612754e-10,Up
ENSG00000099725,ENSG00000099725,13.6576265050227,7.47174222488417,1.08889985769093,6.86173496314751,6.8029194142407e-12,9.90845212684158e-09,Up
ENSG00000081041,CXCL2,100.081908073402,2.0703018988425,0.313379562730298,6.60637177742267,3.93853081475641e-11,4.91697439859375e-08,Up
ENSG00000131002,ENSG00000131002,11.381047400659,7.20664179214434,1.11066689019787,6.48857173626598,8.6653895713932e-11,9.46585493305064e-08,Up
ENSG00000088827,SIGLEC1,155.220589936047,-2.47067986576716,0.391802760316266,-6.30592766567751,2.86472812180917e-10,2.7816510062767e-07,Down
ENSG00000198692,EIF1AY,9.95541534437137,7.01194340987914,1.12656477970691,6.22418127762114,4.84077124610605e-10,4.23034999197208e-07,Up
ENSG00000067646,ZFY,8.50145927466325,6.78325717015924,1.15207727841525,5.88784910287444,3.91254092145436e-09,3.10833591932633e-06,Up
ENSG00000111331,OAS3,281.869886715335,-1.41766537397583,0.273033187719243,-5.19228224897553,2.07731760604424e-07,0.000151280654660172,Down
ENSG00000112096,ENSG00000112096,1185.51215507024,0.712037766635013,0.142626828886961,4.99231296237638,5.96604787220558e-07,0.000401056095040035,NS
ENSG00000114374,USP9Y,4.69970292660371,5.9326485035622,1.19968403967928,4.94517581908334,7.60751717841392e-07,0.000474715088660409,Up
ENSG00000137965,IFI44,103.545237572723,-1.5078966900283,0.305750782467945,-4.93178358484296,8.14821642053568e-07,0.000474715088660409,Down
ENSG00000126709,IFI6,133.638878162317,-1.49189847508383,0.311021980846541,-4.79676218067665,1.61250857201791e-06,0.000880732025679032,Down
ENSG00000119922,IFIT2,35.627313396865,-1.85804951338223,0.389346446193405,-4.77222671876978,1.82200237377797e-06,0.000936616396732101,Down
ENSG00000134326,CMPK2,48.3861810062235,-1.56365858936531,0.328910679688495,-4.75405234894234,1.99379376593996e-06,0.000967986873363853,Down
ENSG00000100906,NFKBIA,2568.2542562655,0.993277641004944,0.211691298398971,4.69210425046819,2.70409265674924e-06,0.00124374030143851,NS
ENSG00000137959,IFI44L,78.7767812489141,-2.01477899618096,0.432126499972792,-4.66247498431088,3.12429073932078e-06,0.00136515883854621,Down
ENSG00000119917,IFIT3,32.5557299646201,-1.78084136041053,0.391673182701209,-4.54675336240484,5.44797773272887e-06,0.00226713701934846,Down
ENSG00000129277,ENSG00000129277,13.222653890313,2.71831823115258,0.599727984910061,4.53258527123799,5.82661428716052e-06,0.00231449010252253,Up
ENSG00000135114,OASL,40.098644795881,-1.47163026478813,0.326236815890771,-4.51092639796011,6.45451155964744e-06,0.00245243376172865,Down
ENSG00000144802,NFKBIZ,1036.54020287956,0.817719957791079,0.183785413744844,4.4493191332711,8.61429371962952e-06,0.0031366797006601,NS
ENSG00000222009,BTBD19,46.0898449841101,1.53312549710865,0.364074416836602,4.21102232458351,2.54217619760958e-05,0.00888643111636406,Up
ENSG00000118503,TNFAIP3,818.977405259869,1.02529939375156,0.245242878038792,4.18075094351722,2.90547965214445e-05,0.00976576410772707,Up
ENSG00000132530,XAF1,148.380624251035,-1.10287735219645,0.26966529727834,-4.08980081355481,4.31743797991316e-05,0.0134750323237361,Down
ENSG00000241163,LINC00877,112.348265775032,1.01983469708848,0.249090934506621,4.09422646837181,4.23580140436677e-05,0.0134750323237361,Up
ENSG00000187608,ISG15,54.9900572340582,-1.15365023975522,0.283803450468658,-4.06496199341531,4.80402898370311e-05,0.0144766928581315,Down
ENSG00000111335,OAS2,158.97894776786,-1.17470427791869,0.291655013225823,-4.02771845039104,5.63207303856167e-05,0.0164062287613302,Down
